url                                                        Q   MS  mid  cov  quiz  empty
/economics/aggregate-demand-model-answers                  3   6   y    y    3     -
/economics/aggregate-supply-model-answers                  2   4   y    y    2     -
/economics/balance-payments-exchange-rates-model-answers   2   4   y    y    2     -
/economics/causes-effects-globalisation-model-answers      2   4   y    y    2     -
/economics/demand-model-answers                            2   4   y    y    2     -
/economics/economic-growth-model-answers                   3   6   y    y    3     -
/economics/economic-performance-model-answers              3   6   y    y    3     -
/economics/government-intervention-firms-model-answers     2   4   y    y    2     -
/economics/government-intervention-model-answers           2   4   y    y    2     -
/economics/growth-development-model-answers                2   4   y    y    2     -
/economics/introductory-concepts-model-answers             2   4   y    y    2     -
/economics/labour-markets-model-answers                    2   4   y    y    2     -
/economics/macroeconomic-policies-model-answers            2   4   y    y    2     -
/economics/market-failure-model-answers                    3   6   y    y    3     -
/economics/market-structures-contestability-model-answers  1   2   y    y    1     -
/economics/national-income-model-answers                   2   4   y    y    2     -
/economics/poverty-inequality-model-answers                1   2   y    y    1     -
/economics/price-determination-model-answers               2   4   y    y    2     -
/economics/revenue-costs-profits-model-answers             2   4   y    y    2     -
/economics/supply-model-answers                            2   4   y    y    2     -
/economics/trade-global-economy-model-answers              2   4   y    y    2     -
/economics/types-sizes-businesses-model-answers            2   4   y    y    2     -
/business/entrepreneurs-leaders-model-answers              2   4   y    y    2     -
/business/external-influences-model-answers                1   2   y    y    1     -
/business/financial-planning-model-answers                 2   4   y    y    2     -
/business/managing-finance-model-answers                   3   6   y    y    3     -
/business/managing-people-model-answers                    3   6   y    y    3     -
/business/marketing-mix-model-answers                      2   4   y    y    2     -
/business/meeting-customer-needs-model-answers             3   6   y    y    3     -
/business/raising-finance-model-answers                    2   4   -    y    2     -
/business/resource-management-model-answers                2   4   -    y    2     -
/business/the-market-model-answers                         0   0   -    y    0     y

pages: 32  with questions: 31  empty state: 1
PASS
