
STAGED (draft) diagrams: 257 across 21 sections
smallest label x 306.74/viewBoxWidth = CSS px at a 390px viewport, against 16px body copy

    px | vbW | face | texts | kind  | section — title
  2.73 | 1010 |    9 |    22 | -     | price-determination — Indirect Taxes: the Wedge, the Split and
  4.91 | 500 |    8 |    11 | -     | measures-economic-performance — Causes of Unemployment
  5.21 | 500 |  8.5 |    17 | -     | types-sizes-businesses — The Four Directions of Integration
  5.25 | 526 |    9 |    23 | -     | supply — Price Elasticity of Supply: The Five Val
  5.48 | 560 |   10 |    18 | table | business-objectives-strategy — Mission, Corporate Aims and Corporate Ob
  5.48 | 560 |   10 |    16 | table | business-objectives-strategy — Mission, Corporate Aims and Corporate Ob
  5.48 | 560 |   10 |    16 | -     | business-objectives-strategy — Ansoff's Matrix
  5.48 | 560 |   10 |    17 | -     | business-objectives-strategy — Ansoff's Matrix [2]
  5.48 | 560 |   10 |    16 | -     | business-objectives-strategy — Porter's Strategic Matrix
  5.48 | 560 |   10 |    17 | -     | business-objectives-strategy — Porter's Strategic Matrix [2]
  5.48 | 560 |   10 |    31 | table | business-objectives-strategy — The Aim of Portfolio Analysis
  5.48 | 560 |   10 |    16 | table | business-objectives-strategy — The Aim of Portfolio Analysis [2]
  5.48 | 560 |   10 |    21 | table | business-objectives-strategy — Strategic and Tactical Decisions, and th
  5.48 | 560 |   10 |    18 | table | business-objectives-strategy — Strategic and Tactical Decisions, and th
  5.48 | 560 |   10 |    16 | -     | business-objectives-strategy — The SWOT Grid
  5.48 | 560 |   10 |    17 | -     | business-objectives-strategy — The SWOT Grid [2]
  5.48 | 560 |   10 |    27 | table | business-objectives-strategy — PESTLE, and Porter's Five Forces
  5.48 | 560 |   10 |    24 | table | business-objectives-strategy — PESTLE, and Porter's Five Forces [2]
  5.48 | 560 |   10 |    26 | -     | financial-planning — Melaka Bottling: the break-even chart
  5.48 | 560 |   10 |    20 | table | market-failure — Why Markets Fail, and the Five Sources
  5.48 | 560 |   10 |    18 | table | market-failure — Why Markets Fail, and the Five Sources [
  5.48 | 560 |   10 |    16 | table | market-failure — Private, External and Social
  5.48 | 560 |   10 |    20 | table | market-failure — Private, External and Social [2]
  5.48 | 560 |   10 |    27 | table | market-failure — Externalities in Five Contexts
  5.48 | 560 |   10 |    23 | table | market-failure — Externalities in Five Contexts [2]
  5.48 | 560 |   10 |    21 | table | market-failure — Public Goods and the Free-Rider Problem
  5.48 | 560 |   10 |    18 | table | market-failure — Public Goods and the Free-Rider Problem 
  5.48 | 560 |   10 |    16 | table | market-failure — Imperfect Market Information
  5.48 | 560 |   10 |    26 | table | market-failure — Imperfect Market Information [2]
  5.48 | 560 |   10 |    19 | table | market-failure — Moral Hazard
  5.48 | 560 |   10 |    22 | table | market-failure — Moral Hazard [2]
  5.48 | 560 |   10 |    24 | -     | market-structures-contestability — Efficiency and Concentration
  5.48 | 560 |   10 |    31 | -     | market-structures-contestability — Efficiency and Concentration [2]
  5.48 | 560 |   10 |    54 | -     | market-structures-contestability — Perfect Competition: Short Run, Long Run
  5.48 | 560 |   10 |    15 | -     | market-structures-contestability — Perfect Competition: Short Run, Long Run
  5.48 | 560 |   10 |    15 | -     | market-structures-contestability — Perfect Competition: Short Run, Long Run
  5.48 | 560 |   10 |    16 | -     | market-structures-contestability — Perfect Competition: Short Run, Long Run
  5.48 | 560 |   10 |    19 | -     | market-structures-contestability — Monopolistic Competition: the Long-Run T
  5.48 | 560 |   10 |    22 | -     | market-structures-contestability — Monopolistic Competition: the Long-Run T
  5.48 | 560 |   10 |    21 | -     | market-structures-contestability — Barriers to Entry and Exit
  5.48 | 560 |   10 |    19 | -     | market-structures-contestability — Barriers to Entry and Exit [2]
  5.48 | 560 |   10 |    20 | -     | market-structures-contestability — Interdependence: the Two-Firm Game
  5.48 | 560 |   10 |    20 | -     | market-structures-contestability — Interdependence: the Two-Firm Game [2]
  5.48 | 560 |   10 |    23 | -     | market-structures-contestability — Price and Non-Price Competition
  5.48 | 560 |   10 |    22 | -     | market-structures-contestability — Price and Non-Price Competition [2]
  5.48 | 560 |   10 |    21 | -     | market-structures-contestability — Monopoly: Equilibrium, Welfare Loss and 
  5.48 | 560 |   10 |    21 | -     | market-structures-contestability — Monopoly: Equilibrium, Welfare Loss and 
  5.48 | 560 |   10 |    20 | -     | market-structures-contestability — Monopoly: Equilibrium, Welfare Loss and 
  5.48 | 560 |   10 |    23 | -     | market-structures-contestability — Monopsony and Contestability
  5.48 | 560 |   10 |    22 | -     | market-structures-contestability — Monopsony and Contestability [2]
  5.48 | 560 |   10 |    18 | table | marketing-mix-strategy — The Marketing Mix, and What Each Objecti
  5.48 | 560 |   10 |    23 | table | marketing-mix-strategy — Strategies for Four Types of Market
  5.48 | 560 |   10 |    20 | table | marketing-mix-strategy — Strategies for Four Types of Market [2]
  5.48 | 560 |   10 |    14 | table | marketing-mix-strategy — The Design Mix and the Trends Changing I
  5.48 | 560 |   10 |    23 | table | marketing-mix-strategy — Pricing Strategies, and Cost Plus Worked
  5.48 | 560 |   10 |    26 | table | marketing-mix-strategy — The Three Distribution Channels
  5.48 | 560 |   10 |    23 | -     | planning-raising-finance — The Funding Package, Debt against Equity
  5.48 | 560 |   10 |    23 | -     | planning-raising-finance — The Funding Package, Debt against Equity
  5.48 | 560 |   10 |    17 | -     | planning-raising-finance — Forms of Business, and What Issuing Shar
  5.48 | 560 |   10 |    26 | -     | planning-raising-finance — Finance Appropriate to Limited and Unlim
  5.48 | 560 |   10 |    34 | table | price-determination — Finding the Equilibrium: the Schedule an
  5.48 | 560 |   10 |    24 | table | price-determination — Finding the Equilibrium: the Schedule an
  5.48 | 560 |   10 |    17 | table | price-determination — The Price Mechanism: Three Functions, Th
  5.48 | 560 |   10 |    17 | table | price-determination — The Price Mechanism: Three Functions, Th
  5.48 | 560 |   10 |    21 | table | supply — What Determines Price Elasticity of Supp
  5.48 | 560 |   10 |    24 | table | supply — One Price Rise, Two Time Horizons
  5.52 | 500 |    9 |    19 | -     | government-intervention — Why Governments Intervene
  5.52 | 500 |    9 |    19 | -     | government-intervention — Why Governments Intervene [2]
  5.52 | 500 |    9 |    18 | -     | government-intervention — An Indirect Tax, and Who Pays It
  5.52 | 500 |    9 |    19 | -     | government-intervention — An Indirect Tax, and Who Pays It [2]
  5.52 | 500 |    9 |    21 | -     | government-intervention — A Subsidy, and What It Costs
  5.52 | 500 |    9 |    18 | -     | government-intervention — Maximum and Minimum Prices
  5.52 | 500 |    9 |    18 | -     | government-intervention — Maximum and Minimum Prices [2]
  5.52 | 500 |    9 |    20 | -     | government-intervention — Permits, Property Rights and Regulation
  5.52 | 500 |    9 |    21 | -     | government-intervention — State Provision and Information
  5.52 | 500 |    9 |    21 | -     | government-intervention — Government Failure
  5.52 | 500 |    9 |    17 | -     | market-failure — Marginal Analysis: the Welfare Loss and 
  5.52 | 500 |    9 |    16 | -     | market-failure — Marginal Analysis: the Welfare Loss and 
  5.52 | 500 |    9 |    20 | -     | market-failure — Marginal Analysis: the Welfare Loss and 
  5.52 | 500 |    9 |    12 | -     | market-failure — Speculation and Market Bubbles
  5.52 | 500 |    9 |    15 | -     | market-failure — Speculation and Market Bubbles [2]
  5.52 | 500 |    9 |    22 | -     | measures-economic-performance — Measuring National Output
  5.52 | 500 |    9 |    11 | -     | measures-economic-performance — Measuring National Output [2]
  5.52 | 500 |    9 |    14 | -     | measures-economic-performance — Measuring National Output [3]
  5.52 | 500 |    9 |    11 | -     | measures-economic-performance — Comparing Growth
  5.52 | 500 |    9 |    13 | -     | measures-economic-performance — Comparing Growth [2]
  5.52 | 500 |    9 |    14 | -     | measures-economic-performance — Comparing Growth [3]
  5.52 | 500 |    9 |    16 | table | measures-economic-performance — What GDP Leaves Out
  5.52 | 500 |    9 |    14 | table | measures-economic-performance — What GDP Leaves Out [2]
  5.52 | 500 |    9 |     8 | table | measures-economic-performance — What GDP Leaves Out [3]
  5.52 | 500 |    9 |    26 | -     | measures-economic-performance — Measuring Inflation
  5.52 | 500 |    9 |    22 | -     | measures-economic-performance — Measuring Inflation [2]
  5.52 | 500 |    9 |    18 | -     | measures-economic-performance — Measuring Inflation [3]
  5.52 | 500 |    9 |    14 | -     | measures-economic-performance — Measuring Inflation [4]
  5.52 | 500 |    9 |    11 | -     | measures-economic-performance — Causes of Inflation and Deflation
  5.52 | 500 |    9 |    11 | -     | measures-economic-performance — Causes of Inflation and Deflation [2]
  5.52 | 500 |    9 |    11 | -     | measures-economic-performance — Causes of Inflation and Deflation [3]
  5.52 | 500 |    9 |    11 | -     | measures-economic-performance — Causes of Inflation and Deflation [4]
  5.52 | 500 |    9 |    29 | table | measures-economic-performance — Effects of Inflation and Deflation
  5.52 | 500 |    9 |    20 | table | measures-economic-performance — Effects of Inflation and Deflation [2]
  5.52 | 500 |    9 |    13 | table | measures-economic-performance — Measuring Employment and Unemployment
  5.52 | 500 |    9 |    10 | table | measures-economic-performance — Measuring Employment and Unemployment [2
  5.52 | 500 |    9 |    26 | table | measures-economic-performance — Measuring Employment and Unemployment [3
  5.52 | 500 |    9 |     8 | -     | measures-economic-performance — Effects of Unemployment
  5.52 | 500 |    9 |    10 | table | measures-economic-performance — The Balance of Payments
  5.52 | 500 |    9 |    14 | table | measures-economic-performance — The Balance of Payments [2]
  5.52 | 500 |    9 |    20 | -     | meeting-customer-needs — The Research Grid: Primary, Secondary, Q
  5.52 | 500 |    9 |    13 | -     | meeting-customer-needs — The Chilled-Juice Market Map
  5.52 | 500 |    9 |    16 | -     | meeting-customer-needs — The Chilled-Juice Market Map [2]
  5.52 | 500 |    9 |    18 | -     | meeting-customer-needs — The Chilled-Juice Market Map [3]
  5.52 | 500 |    9 |    13 | -     | price-determination — Excess Demand, Excess Supply and Shifts 
  5.52 | 500 |    9 |    14 | -     | price-determination — Excess Demand, Excess Supply and Shifts 
  5.52 | 500 |    9 |    14 | -     | price-determination — Excess Demand, Excess Supply and Shifts 
  5.52 | 500 |    9 |    15 | -     | price-determination — Excess Demand, Excess Supply and Shifts 
  5.52 | 500 |    9 |    16 | -     | price-determination — Excess Demand, Excess Supply and Shifts 
  5.52 | 500 |    9 |    15 | -     | price-determination — Consumer and Producer Surplus
  5.52 | 500 |    9 |    15 | -     | price-determination — Consumer and Producer Surplus [2]
  5.52 | 500 |    9 |    15 | -     | price-determination — Consumer and Producer Surplus [3]
  5.52 | 500 |    9 |    17 | -     | price-determination — Indirect Taxes: the Wedge, the Split and
  5.52 | 500 |    9 |    15 | -     | price-determination — Indirect Taxes: the Wedge, the Split and
  5.52 | 500 |    9 |    13 | -     | price-determination — Indirect Taxes: the Wedge, the Split and
  5.52 | 500 |    9 |    17 | -     | price-determination — Subsidies: the Wedge in Reverse
  5.52 | 500 |    9 |    16 | -     | price-determination — Subsidies: the Wedge in Reverse [2]
  5.52 | 500 |    9 |    13 | -     | supply — Supply: Movements Along the Curve and Sh
  5.52 | 500 |    9 |    12 | -     | supply — Supply: Movements Along the Curve and Sh
  5.52 | 500 |    9 |    10 | -     | supply — What Shifts the Supply Curve: Taxes and 
  5.52 | 500 |    9 |    12 | -     | supply — What Shifts the Supply Curve: Taxes and 
  5.52 | 500 |    9 |    11 | -     | supply — What Shifts the Supply Curve: Taxes and 
  5.52 | 500 |    9 |    14 | -     | supply — Price Elasticity of Supply: The Five Val
  5.52 | 500 |    9 |    10 | -     | the-market — The Demand Curve, and What Moves It
  5.52 | 500 |    9 |    10 | -     | the-market — The Demand Curve, and What Moves It [2]
  5.52 | 500 |    9 |    10 | -     | the-market — The Supply Curve, and What Moves It
  5.52 | 500 |    9 |    10 | -     | the-market — The Supply Curve, and What Moves It [2]
  5.52 | 500 |    9 |    10 | -     | the-market — Demand and Supply Together
  5.52 | 500 |    9 |    13 | -     | the-market — Demand and Supply Together [2]
  5.52 | 500 |    9 |    13 | -     | the-market — Demand and Supply Together [3]
  5.52 | 500 |    9 |    30 | -     | the-market — PED: the Schedule, the Values and the Re
  5.52 | 500 |    9 |    18 | -     | the-market — PED: the Schedule, the Values and the Re
  5.52 | 500 |    9 |    18 | -     | the-market — PED: the Schedule, the Values and the Re
  5.52 | 500 |    9 |    18 | -     | the-market — Income Elasticity: Three Products
  5.52 | 500 |    9 |    10 | -     | the-market — Income Elasticity: Three Products [2]
  5.52 | 500 |    9 |    25 | table | types-sizes-businesses — The Five Types of Business
  5.52 | 500 |    9 |    13 | -     | types-sizes-businesses — How Size Is Measured
  5.52 | 500 |    9 |    18 | -     | types-sizes-businesses — The Three Business Objectives
  5.83 | 500 |  9.5 |    15 | -     | meeting-customer-needs — Three Ways to Sample the Same Population
  5.83 | 500 |  9.5 |    14 | -     | types-sizes-businesses — A Demerger Against a Divestment
  6.03 | 560 |   11 |    47 | table | revenue-costs-profits — Total, Average and Marginal Revenue
  6.03 | 560 |   11 |    23 | table | revenue-costs-profits — Price Elasticity of Demand and Revenue
  6.03 | 560 |   11 |    36 | table | revenue-costs-profits — Price Elasticity of Demand and Revenue [
  6.03 | 560 |   11 |    36 | table | revenue-costs-profits — Diminishing Returns and the Product Curv
  6.03 | 560 |   11 |    63 | table | revenue-costs-profits — The Seven Cost Measures
  6.03 | 560 |   11 |    37 | table | revenue-costs-profits — The Long Run, LRAC and Minimum Efficient
  6.03 | 560 |   11 |    20 | table | revenue-costs-profits — Economies and Diseconomies of Scale
  6.03 | 560 |   11 |    14 | table | revenue-costs-profits — Economies and Diseconomies of Scale [2]
  6.03 | 560 |   11 |    15 | table | revenue-costs-profits — Economies and Diseconomies of Scale [3]
  6.03 | 560 |   11 |    33 | table | revenue-costs-profits — Profits, Losses and the Shutdown Points
  6.03 | 560 |   11 |    24 | table | revenue-costs-profits — Profits, Losses and the Shutdown Points 
  6.13 | 500 |   10 |    11 | -     | consumer-behaviour-demand — Marginal and Total Utility
  6.13 | 500 |   10 |    11 | -     | consumer-behaviour-demand — Marginal and Total Utility [2]
  6.13 | 500 |   10 |    11 | -     | consumer-behaviour-demand — The Demand Curve: Movements and Shifts
  6.13 | 500 |   10 |    10 | -     | consumer-behaviour-demand — The Demand Curve: Movements and Shifts [
  6.13 | 500 |   10 |    21 | -     | consumer-behaviour-demand — The Demand Schedule and the Five PED Val
  6.13 | 500 |   10 |     7 | -     | consumer-behaviour-demand — The Demand Schedule and the Five PED Val
  6.13 | 500 |   10 |     5 | -     | consumer-behaviour-demand — The Demand Schedule and the Five PED Val
  6.13 | 500 |   10 |     9 | -     | consumer-behaviour-demand — The Demand Schedule and the Five PED Val
  6.13 | 500 |   10 |    21 | -     | consumer-behaviour-demand — Total Revenue and PED
  6.13 | 500 |   10 |     8 | -     | consumer-behaviour-demand — Total Revenue and PED [2]
  6.13 | 500 |   10 |    11 | -     | consumer-behaviour-demand — Total Revenue and PED [3]
  6.13 | 500 |   10 |    15 | -     | consumer-behaviour-demand — Interpreting YED and XED Values
  6.13 | 500 |   10 |    15 | -     | consumer-behaviour-demand — Interpreting YED and XED Values [2]
  6.13 | 500 |   10 |    10 | table | marketing-mix-strategy — The Marketing Mix, and What Each Objecti
  6.13 | 500 |   10 |    11 | -     | marketing-mix-strategy — The Product Life Cycle and the Boston Ma
  6.13 | 500 |   10 |    12 | -     | marketing-mix-strategy — The Product Life Cycle and the Boston Ma
  6.13 | 500 |   10 |    10 | table | marketing-mix-strategy — The Design Mix and the Trends Changing I
  6.13 | 500 |   10 |     9 | -     | marketing-mix-strategy — What a Strong Brand Changes
  6.13 | 500 |   10 |    13 | table | marketing-mix-strategy — Pricing Strategies, and Cost Plus Worked
  6.13 | 500 |   10 |    10 | -     | meeting-customer-needs — Market Size, Share and Growth
  6.13 | 500 |   10 |    10 | -     | meeting-customer-needs — Where the Money Goes on One Bottle
  6.13 | 500 |   10 |    15 | -     | planning-raising-finance — What a Business Plan Contains, and Who R
  6.13 | 500 |   10 |     9 | -     | planning-raising-finance — Retained Profit and What It Costs
  6.13 | 500 |   10 |    16 | -     | planning-raising-finance — The Funding Package, Debt against Equity
  6.13 | 500 |   10 |    12 | -     | planning-raising-finance — Forms of Business, and What Issuing Shar
  6.75 | 500 |   11 |    16 | table | revenue-costs-profits — Total, Average and Marginal Revenue [2]
  6.75 | 500 |   11 |    17 | table | revenue-costs-profits — Diminishing Returns and the Product Curv
  6.75 | 500 |   11 |    19 | table | revenue-costs-profits — The Seven Cost Measures [2]
  6.75 | 500 |   11 |    18 | table | revenue-costs-profits — The Long Run, LRAC and Minimum Efficient
  6.75 | 500 |   11 |    19 | table | revenue-costs-profits — Profits, Losses and the Shutdown Points 
  6.97 | 440 |   10 |    28 | table | aggregate-demand — Consumption, Saving and the Savings Rati
  6.97 | 440 |   10 |    24 | table | aggregate-demand — Gross and Net Investment
  6.97 | 440 |   10 |    18 | table | aggregate-demand — Influences on Government Expenditure
  6.97 | 440 |   10 |    32 | table | aggregate-demand — The Net Trade Balance
  6.97 | 440 |   10 |    16 | table | causes-effects-globalisation — The Five Causes, and What Each One Chang
  6.97 | 440 |   10 |    25 | table | entrepreneurs-leaders — The Role of an Entrepreneur
  6.97 | 440 |   10 |    18 | table | entrepreneurs-leaders — The Role of an Entrepreneur [2]
  6.97 | 440 |   10 |    22 | table | entrepreneurs-leaders — The Role of an Entrepreneur [3]
  6.97 | 440 |   10 |    30 | table | entrepreneurs-leaders — Risk, Uncertainty and Barriers
  6.97 | 440 |   10 |    25 | table | entrepreneurs-leaders — Risk, Uncertainty and Barriers [2]
  6.97 | 440 |   10 |    24 | table | entrepreneurs-leaders — Motives and Characteristics
  6.97 | 440 |   10 |    25 | table | entrepreneurs-leaders — Motives and Characteristics [2]
  6.97 | 440 |   10 |    29 | table | entrepreneurs-leaders — Business Choices
  6.97 | 440 |   10 |    23 | table | entrepreneurs-leaders — Business Choices [2]
  6.97 | 440 |   10 |    24 | table | globalisation — Developed, Developing and Emerging Econo
  6.97 | 440 |   10 |    14 | table | globalisation — Developed, Developing and Emerging Econo
  6.97 | 440 |   10 |    22 | table | globalisation — Developed, Developing and Emerging Econo
  6.97 | 440 |   10 |    15 | table | globalisation — Trade, Specialisation and FDI
  6.97 | 440 |   10 |    20 | table | globalisation — Trade, Specialisation and FDI [2]
  6.97 | 440 |   10 |    21 | table | globalisation — Trade, Specialisation and FDI [3]
  6.97 | 440 |   10 |    27 | table | globalisation — What Drives Globalisation: Trade, Politi
  6.97 | 440 |   10 |    16 | table | globalisation — What Drives Globalisation: Trade, Politi
  6.97 | 440 |   10 |    26 | table | globalisation — Migration, Labour and Structural Change
  6.97 | 440 |   10 |    17 | table | globalisation — Protectionism: Four Barriers on One Unit
  6.97 | 440 |   10 |    21 | table | globalisation — Protectionism: Four Barriers on One Unit
  6.97 | 440 |   10 |    18 | table | globalisation — Protectionism: Four Barriers on One Unit
  6.97 | 440 |   10 |    21 | table | globalisation — Trading Blocs and What Membership Is Wor
  6.97 | 440 |   10 |    16 | table | globalisation — Trading Blocs and What Membership Is Wor
  6.97 | 440 |   10 |    21 | table | managing-finance — Measuring Profitability
  6.97 | 440 |   10 |    27 | table | managing-finance — Measuring Profitability [2]
  6.97 | 440 |   10 |    20 | table | managing-finance — Measuring and Improving Liquidity
  6.97 | 440 |   10 |    45 | table | managing-finance — Measuring and Improving Liquidity [2]
  6.97 | 440 |   10 |    33 | table | managing-finance — The Statement Itself
  6.97 | 440 |   10 |    24 | table | managing-finance — Profit Against Cash
  6.97 | 440 |   10 |    35 | table | managing-finance — Where Each Cause Lands
  6.97 | 440 |   10 |    21 | table | managing-people — Approaches to Staffing
