count 50
ECON-4.3.6-1a | Measures of a | The three components of the Human Development Index (HDI): education, health, income; how they are measured.
ECON-4.3.6-1b | Measures of development b | Advantages and limitations of the HDI in comparing living standards between countries and over time.
ECON-4.3.6-1c | Measures of development c | Other measures of development:
ECON-4.3.6-1c-1 | Measures of development c | the percentage of adult male labour in agriculture
ECON-4.3.6-1c-2 | Measures of development c | access to clean water
ECON-4.3.6-1c-3 | Measures of development c | energy consumption per capita
ECON-4.3.6-1c-4 | Measures of development c | access to internet per thousand of population
ECON-4.3.6-1c-5 | Measures of development c | access to mobile phones per thousand of population
ECON-4.3.6-1c-6 | Measures of development c | access to doctors per thousand of population.
ECON-4.3.6-2a | Constraints on a | The impact of economic factors in different countries:
ECON-4.3.6-2a-1 | Constraints on a | volatility of commodity prices
ECON-4.3.6-2a-2 | Constraints on a | primary product dependency (the Prebisch-Singer hypothesis)
ECON-4.3.6-2a-3 | Constraints on a | savings gap (the Harrod-Domar model)
ECON-4.3.6-2a-4 | Constraints on a | foreign currency gap
ECON-4.3.6-2a-5 | Constraints on a | capital flight
ECON-4.3.6-2a-6 | Constraints on a | demographic factors (size and age distribution of population; migration)
ECON-4.3.6-2a-7 | Constraints on a | debt (household and overseas)
ECON-4.3.6-2a-8 | Constraints on a | access to credit and banking
ECON-4.3.6-2a-9 | Constraints on a | infrastructure
ECON-4.3.6-2a-10 | Constraints on a | education and skills.
ECON-4.3.6-2b | Constraints on b | The impact of non-economic factors in different countries:
ECON-4.3.6-2b-1 | Constraints on b | corruption
ECON-4.3.6-2b-2 | Constraints on b | poor governance
ECON-4.3.6-2b-3 | Constraints on b | civil wars
ECON-4.3.6-2b-4 | Constraints on b | migration
ECON-4.3.6-2b-5 | Constraints on b | terrorism. economies (continued)
ECON-4.3.6-3a | Measures to a | The impact of market-orientated strategies:
ECON-4.3.6-3a-1 | Measures to a | trade liberalisation
ECON-4.3.6-3a-2 | Measures to a | promotion of FDI
ECON-4.3.6-3a-3 | Measures to a | removal of government subsidies
ECON-4.3.6-3a-4 | Measures to a | privatisation
ECON-4.3.6-3a-5 | Measures to a | floating exchange rate systems
ECON-4.3.6-3a-6 | Measures to a | microfinance schemes.
ECON-4.3.6-3b | Measures to b | The impact of interventionist strategies:
ECON-4.3.6-3b-1 | Measures to b | development of human capital
ECON-4.3.6-3b-2 | Measures to b | protectionism
ECON-4.3.6-3b-3 | Measures to b | managed exchange rates
ECON-4.3.6-3b-4 | Measures to b | infrastructure development
ECON-4.3.6-3b-5 | Measures to b | promoting joint ventures with TNCs
ECON-4.3.6-3b-6 | Measures to b | buffer stock schemes.
ECON-4.3.6-3c | Measures to c | The impact of other strategies:
ECON-4.3.6-3c-1 | Measures to c | industrialisation (the Lewis structural dual-sector model)
ECON-4.3.6-3c-2 | Measures to c | development of tourism
ECON-4.3.6-3c-3 | Measures to c | development of primary industries
ECON-4.3.6-3c-4 | Measures to c | debt relief
ECON-4.3.6-3c-5 | Measures to c | aid.
ECON-4.3.6-3d | Measures to d | The role of international institutions:
ECON-4.3.6-3d-1 | Measures to d | the World Bank
ECON-4.3.6-3d-2 | Measures to d | the International Monetary Fund (IMF)
ECON-4.3.6-3d-3 | Measures to d | non-government organisations (NGOs).
